Reg_no,Subject1,Subject2,Subject3,Subject4,Subject5,Subject6,Subject7,Subject8,Subject9,Subject10,Subject11,Subject12
NCE16AU026,MA101(F),PH100(F),CY100(F),BE100(F),BE110(F),BE10102(F),CE100(P),EE100(F),EC100(F),MA102(F)
NCE16AU027,EE100(C),EC100(F)
NCE16AU028,PH100(F),CY100(F),BE100(F),BE10102(C),CE100(F),EE100(F),EC100(Absent),MA102(F)
NCE16AU029,PH100(F),BE100(F),BE10102(F),EE100(F),EC100(Absent)
NCE16AU031,BE110(F)
NCE16CS001,MA101(F),PH100(F),CY100(F),BE100(F),BE10105(F),EE100(F),EC100(F),MA102(F),CS100(F)
NCE16CS002,MA101(F),PH100(F),CY100(P),BE100(F),BE110(C),BE10105(F),EE100(F),EC100(F),MA102(F),CS100(F)
NCE16CS003,MA101(F),PH100(F),CY100(F),BE100(F),BE10105(B),EE100(P),EC100(P),MA102(F),CS100(F)
NCE16CS005,CS100(B+)
NCE16CS007,PH100(C),CY100(F),BE10105(Absent),EE100(C),CS100(F)
NCE16CS009,CS100(F)
NCE16CS010,PH100(F),BE100(F),EE100(C),MA102(F),CS100(F)
NCE16CS011,CY100(C),CS100(C)
NCE16CS014,MA101(F),CY100(F),BE100(F),BE10105(F),EE100(F),EC100(P),MA102(F),CS100(F)
NCE16CS015,CS100(F)
NCE16CS017,MA101(F),PH100(F),CY100(F),BE100(F),BE10105(F),EE100(F),MA102(F),CS100(F)
NCE16CS018,MA101(F),BE100(F),MA102(F)
NCE16CS019,BE100(C),EE100(C)
NCE16CS020,CY100(F),EE100(C),EC100(C)
NCE16CS022,BE100(B),EC100(C)
NCE16CS026,MA101(F),PH100(F),BE100(F),EE100(C),MA102(F),CS100(F)
NCE16CS027,CS100(C)
NCE16CS030,MA101(C),PH100(C),CY100(F),BE10105(C),MA102(B),CS100(F)
NCE16CS031,CY100(F),BE100(B)
NCE16CS032,EC100(F)
NCE16CS033,EE100(B),MA102(C),CS100(F)
NCE16CS034,CY100(C),BE110(C),MA102(C),CS100(F)
NCE16CS035,CS100(C)
NCE16CS037,MA101(F),PH100(F),BE100(F),BE10105(F),EC100(F),MA102(F),CS100(F)
NCE16CS038,BE100(C)
NCE16CS039,BE100(B+)
NCE16CS042,BE10105(F),MA102(Absent),CS100(F)
NCE16CS044,BE100(C),BE110(C),EE100(F)
NCE16CS046,BE100(B)
NCE16CS047,EE100(B)
NCE16CS048,EE100(B)
NCE16CS050,BE110(B)
NCE16CS051,MA101(F),PH100(F),BE100(F),BE10105(F),EE100(F),EC100(F),MA102(F),CS100(F)
